date,FDC_portal/Proposals/2012-2013_round2,FDC_portal/Proposals/2012-2013_round2/Example,FDC_portal/Proposals/2012-2013_round2/Example/Letter_of_intent,FDC_portal/Proposals/2012-2013_round2/Example/Progress_report_form,FDC_portal/Proposals/2012-2013_round2/Example/Progress_report_form/Q1,FDC_portal/Proposals/2012-2013_round2/Example/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Australia,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Australia/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Czech_Republic,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Czech_Republic/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Czech_Republic/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/Wikimedia_France,FDC_portal/Proposals/2012-2013_round2/Wikimedia_France/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Hong_Kong,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Hong_Kong/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Hong_Kong/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norge,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norge/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norge/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/Wikimedia_Norway,FDC_portal/Proposals/2012-2013_round2/Wikimédia_France,FDC_portal/Proposals/2012-2013_round2/Wikimédia_France/Proposal_form,FDC_portal/Proposals/2012-2013_round2/Wikimédia_France/Staff_proposal_assessment,FDC_portal/Proposals/2012-2013_round2/test/test
2013/01/19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/01/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/01,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/02,1,5,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/03,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/04,1,1,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/05,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/06,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/07,2,1,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0
2013/02/08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/09,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013/02/11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013/02/12,1,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2013/02/13,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0
2013/02/14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/15,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013/02/16,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/02/17,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0
2013/02/18,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,5,0,0
2013/02/19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013/02/20,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2013/02/21,2,0,0,0,0,1,1,0,5,0,0,5,0,0,0,0,0,0,0,0,1,3,0,0
2013/02/22,1,1,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,1,13,0,0
2013/02/23,2,2,0,0,0,3,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013/02/24,0,0,0,0,0,2,0,18,1,0,0,0,0,0,0,0,2,29,0,2,0,1,0,0
2013/02/25,6,2,0,0,0,6,4,23,4,0,0,0,0,7,9,0,8,70,0,1,3,5,0,0
2013/02/26,12,1,0,0,0,2,4,19,7,0,0,4,0,2,75,0,1,14,0,1,2,7,0,0
2013/02/27,1,0,0,0,0,1,1,26,3,0,0,0,0,2,38,0,0,38,0,0,0,2,0,0
2013/02/28,5,0,0,0,0,1,0,17,3,9,0,1,1,2,42,0,0,24,0,0,2,28,0,0
2013/03/01,15,0,0,0,0,3,0,2,3,62,0,3,0,7,30,0,0,3,0,0,1,19,0,0
2013/03/02,11,1,0,0,0,1,3,9,7,16,0,0,3,8,27,0,2,8,0,2,3,5,0,0
2013/03/03,4,0,0,0,0,1,1,1,0,4,0,0,0,1,5,0,1,7,0,0,0,7,0,0
2013/03/04,32,0,0,0,0,4,13,8,4,10,0,2,1,2,5,0,2,6,0,1,2,7,0,0
2013/03/05,14,1,0,0,0,0,2,8,13,18,0,2,0,9,7,0,7,12,0,0,7,16,0,0
2013/03/06,3,0,0,0,0,2,0,1,1,4,0,1,1,1,10,0,4,7,0,0,0,14,0,0
2013/03/07,2,1,0,0,0,0,6,6,39,71,0,4,0,22,42,0,14,34,0,0,19,70,0,0
2013/03/08,11,1,0,0,0,4,10,11,134,247,0,0,0,79,148,0,40,106,0,0,58,219,0,0
2013/03/09,18,1,0,0,0,3,5,3,22,321,0,1,2,4,169,0,10,128,0,1,8,230,0,0
2013/03/10,13,1,0,0,0,3,5,4,10,228,0,0,0,9,120,0,2,106,0,0,11,380,0,0
2013/03/11,3,2,0,0,0,1,2,0,10,80,0,0,0,8,55,0,6,32,0,0,7,113,0,0
2013/03/12,5,0,0,0,0,0,0,0,2,33,0,1,0,3,17,0,2,21,0,0,3,85,0,0
2013/03/13,3,1,0,0,0,1,4,1,2,28,0,1,1,4,21,0,0,20,0,1,2,66,0,0
2013/03/14,8,1,0,0,0,0,1,10,2,43,0,0,1,3,13,0,2,28,0,0,3,60,0,1
2013/03/15,10,2,0,0,0,2,2,2,4,30,0,0,1,5,22,0,0,7,0,0,1,11,0,1
2013/03/16,18,2,0,0,0,0,2,0,2,15,0,1,0,2,5,0,0,15,0,0,2,20,0,0
2013/03/17,0,0,0,0,0,0,3,1,0,3,0,0,0,3,1,0,2,14,0,0,1,10,0,0
2013/03/18,2,0,0,0,0,1,1,1,2,6,0,1,1,8,21,0,3,9,0,0,2,15,0,0
2013/03/19,4,2,0,0,0,1,1,1,1,6,0,1,0,5,17,0,1,10,0,0,2,12,0,0
2013/03/20,9,0,0,0,0,0,0,0,1,18,0,0,0,4,14,0,1,13,0,1,1,9,0,0
2013/03/21,2,0,0,0,0,0,0,1,1,9,0,0,0,1,16,0,1,7,0,0,2,12,0,0
2013/03/22,1,0,0,0,0,1,1,2,1,4,0,1,2,2,2,0,1,6,0,0,0,5,0,0
2013/03/23,3,1,0,0,0,1,1,0,2,14,0,0,0,3,19,0,2,3,0,0,1,6,0,0
2013/03/24,0,1,0,0,0,0,1,1,1,2,0,2,0,1,12,0,2,5,0,0,2,4,0,0
2013/03/25,4,0,0,0,0,0,0,1,0,5,0,0,0,1,28,0,0,14,0,0,1,20,0,0
2013/03/26,5,7,0,14,9,6,0,0,3,8,0,0,0,1,8,0,0,1,0,1,0,18,0,0
2013/03/27,1,0,0,0,1,1,0,0,0,5,0,0,0,1,6,0,1,3,0,0,1,9,0,0
2013/03/28,0,2,0,0,0,3,0,0,0,7,0,0,0,4,7,0,0,7,0,1,1,13,0,0
2013/03/29,2,1,0,1,1,1,1,0,2,4,0,0,0,3,3,0,1,9,0,0,0,9,0,0
2013/03/30,8,0,0,0,1,3,9,4,49,718,0,0,0,23,415,0,14,325,0,0,24,514,0,0
2013/03/31,5,0,0,1,1,1,9,4,23,522,0,0,0,13,258,0,17,213,0,0,14,372,0,0
2013/04/01,14,0,0,0,0,0,0,0,3,32,0,0,0,2,9,0,3,15,0,0,2,25,0,0
2013/04/02,7,1,0,1,1,2,0,1,4,20,0,0,0,4,12,0,2,10,0,1,5,17,0,0
2013/04/03,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,9,0,0,0,9,0,0
2013/04/04,3,0,0,0,0,0,2,0,3,8,0,2,2,5,6,0,4,2,0,0,1,15,0,0
2013/04/05,0,0,0,1,1,1,2,1,1,2,0,0,0,1,0,0,0,1,0,0,1,11,0,0
2013/04/06,5,1,0,2,2,1,2,0,7,8,3,1,0,3,6,2,6,12,3,1,3,8,6,0
2013/04/07,2,0,0,0,0,2,0,0,1,7,0,0,0,1,1,0,2,12,0,0,2,3,0,0
2013/04/08,12,0,0,0,1,0,1,1,7,8,34,0,0,4,10,18,0,13,19,0,4,12,85,1
2013/04/09,10,1,0,0,0,1,1,0,2,9,25,0,0,6,4,20,0,5,16,0,2,10,37,0
2013/04/10,0,0,0,0,1,0,1,0,3,1,4,0,0,1,1,7,1,2,3,0,1,2,9,1
2013/04/11,0,2,0,1,2,3,3,1,5,3,1,1,0,4,2,1,3,2,1,1,3,6,1,0
2013/04/12,1,2,0,0,0,0,1,0,2,0,3,0,0,3,2,3,3,4,7,0,0,4,3,1
2013/04/13,7,1,0,0,1,2,0,0,3,1,5,0,1,2,4,7,2,3,7,0,2,6,32,0
2013/04/14,1,1,0,0,0,0,2,1,0,1,1,1,0,0,1,4,0,2,1,0,0,2,59,1
2013/04/15,2,2,0,1,1,1,1,1,3,5,7,1,0,4,8,7,3,7,4,1,1,7,14,1
2013/04/16,1,0,0,1,0,0,2,0,0,3,4,0,0,1,2,4,1,2,4,0,1,3,7,0
2013/04/17,2,1,0,0,0,0,0,1,1,1,6,0,0,3,0,4,2,10,16,0,0,2,12,1
2013/04/18,2,2,0,1,1,1,1,0,3,4,5,1,0,5,8,3,1,5,7,1,1,5,6,0
2013/04/19,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6,1,0,2,0,0,0,3,5,1
2013/04/20,0,0,0,0,0,1,0,0,1,4,6,0,0,2,4,2,0,2,1,0,0,5,1,0
2013/04/21,0,0,0,1,1,0,0,0,1,3,3,0,0,0,6,2,0,6,3,0,3,11,6,1
2013/04/22,3,1,0,1,1,1,1,0,1,5,0,1,0,3,6,0,2,8,1,1,1,6,4,0
2013/04/23,3,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,2,4,4,0,1,5,3,0
2013/04/24,7,0,0,0,0,0,1,1,2,3,7,0,0,3,0,4,0,2,4,0,2,5,6,0
2013/04/25,1,0,0,0,0,1,1,1,0,0,3,0,0,1,1,0,0,0,2,0,0,1,4,0
2013/04/26,0,0,0,1,1,2,1,1,3,1,2,0,0,1,1,1,0,2,1,0,0,3,2,0
2013/04/27,1,1,0,0,0,2,0,0,1,2,2,0,0,1,1,1,2,1,1,0,2,5,2,0
2013/04/28,6,0,0,0,0,2,0,0,1,1,2,0,0,5,5,3,0,3,4,0,1,2,2,0
2013/04/29,3,0,0,0,0,1,0,2,0,2,1,0,0,6,11,8,0,6,4,0,0,1,1,0
2013/04/30,4,0,0,0,0,1,0,1,5,3,1,0,0,9,13,12,3,1,0,0,4,2,3,0
2013/05/01,3,0,0,0,0,0,0,0,3,7,1,0,0,6,15,3,4,4,1,0,1,3,1,0
2013/05/02,4,0,0,2,2,1,0,1,1,5,0,0,0,1,14,4,1,4,0,0,0,8,1,0
2013/05/03,0,1,0,1,0,2,2,0,1,4,0,0,0,3,10,0,2,4,1,0,1,3,1,0
2013/05/04,1,1,0,0,0,0,1,0,0,1,0,0,0,4,2,0,0,6,0,0,0,3,0,2
2013/05/05,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,1,0
2013/05/06,2,0,0,0,0,0,1,2,1,3,1,1,0,3,4,1,0,1,1,0,1,4,1,0
2013/05/07,1,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0,1,2,0,0,0,2,1,0
2013/05/08,2,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,3,1,1,0,0,1,1,0
2013/05/09,0,4,1,0,0,0,0,0,4,2,1,0,0,2,2,1,2,1,1,0,2,2,1,0
2013/05/10,0,2,1,0,0,0,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,2,1,0
2013/05/11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,2,0,0
2013/05/12,0,3,0,0,0,1,0,0,3,1,0,0,0,0,4,0,1,0,1,0,0,1,0,0
2013/05/13,3,0,0,0,0,0,0,0,4,3,7,0,1,1,1,0,1,3,0,0,0,3,0,0
2013/05/14,3,0,0,0,0,1,0,0,1,3,7,0,0,1,0,1,2,4,4,0,0,1,1,0
2013/05/15,2,1,0,0,1,0,1,1,2,7,11,0,0,3,2,0,0,0,0,0,0,0,1,1
2013/05/16,0,0,0,0,0,0,0,2,2,3,4,0,0,3,5,4,0,3,0,0,0,4,0,2
2013/05/17,0,2,0,0,0,0,2,0,2,2,3,1,2,1,6,1,2,1,0,0,2,3,2,0
2013/05/18,1,0,0,0,0,0,0,1,1,4,0,0,0,1,6,0,0,5,0,0,0,1,1,0
2013/05/19,3,2,0,1,2,0,2,2,0,2,1,1,1,4,11,3,2,5,1,0,1,1,1,0
2013/05/20,1,3,5,0,0,0,0,0,1,1,0,0,0,4,6,1,0,4,0,0,0,2,1,0
2013/05/21,1,0,0,0,0,0,0,0,0,1,2,1,0,1,1,2,1,1,4,0,0,1,2,0
2013/05/22,6,1,0,0,0,2,0,2,4,6,0,0,0,1,4,3,1,5,1,0,2,2,0,0
2013/05/23,0,1,0,0,0,0,1,2,0,4,1,0,0,1,2,1,0,2,0,0,0,4,2,0
2013/05/24,0,0,0,0,1,1,0,1,0,3,0,2,0,1,3,2,1,0,1,0,0,2,1,0
2013/05/25,1,2,0,2,1,1,1,1,2,1,2,2,2,3,2,0,2,5,0,1,3,4,0,0
2013/05/26,2,0,2,0,2,3,0,0,1,3,0,1,0,2,2,1,1,2,1,0,0,1,1,0
2013/05/27,0,1,1,0,0,2,0,0,1,2,0,0,0,2,1,0,1,4,2,0,0,4,0,0
2013/05/28,1,1,4,0,2,0,1,0,4,6,2,0,0,2,2,2,1,4,2,0,1,2,2,0
2013/05/29,0,0,0,0,2,1,0,0,0,4,0,1,0,0,3,0,0,5,0,0,0,2,1,0
2013/05/30,1,1,0,0,0,0,0,1,0,2,0,0,0,2,2,1,2,2,0,1,0,4,0,0
2013/05/31,0,1,1,1,1,0,0,0,1,4,0,0,0,4,9,1,3,6,0,0,1,4,0,0
2013/06/01,0,2,0,0,0,0,1,0,1,1,1,0,0,1,1,1,2,5,1,0,3,3,1,0
2013/06/02,0,0,0,0,1,0,0,1,2,1,2,0,0,1,0,1,2,1,2,0,0,1,1,0
2013/06/03,2,0,0,0,0,1,1,0,1,2,0,3,2,0,3,1,3,18,2,0,1,3,1,0
2013/06/04,0,0,0,1,0,1,0,0,3,3,1,1,0,1,2,1,1,7,0,0,2,4,0,0
2013/06/05,2,0,0,0,1,1,1,1,0,3,2,1,0,1,1,0,0,4,1,0,0,3,2,0
2013/06/06,1,0,0,0,0,12,2,2,2,3,0,0,0,3,4,0,0,3,0,0,2,2,0,0
2013/06/07,1,1,0,0,1,2,0,0,2,3,1,0,0,1,1,0,0,6,1,0,0,0,1,2
2013/06/08,1,0,0,0,0,0,0,1,0,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0
2013/06/09,0,1,0,0,2,3,0,1,1,0,1,1,0,1,3,0,0,1,1,0,1,1,1,0
2013/06/10,1,0,0,0,1,0,1,0,0,1,1,1,0,2,2,1,1,1,1,0,0,3,0,1
2013/06/11,1,1,0,1,0,1,1,0,1,2,2,2,0,1,2,1,1,2,1,1,2,3,0,0
2013/06/12,2,0,0,0,0,0,0,0,1,1,3,0,0,1,2,2,1,2,3,0,1,1,2,0
2013/06/13,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,2,0,3,1,0,0,0,1,1
2013/06/14,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,0,7,0,0,0,1,1,0
2013/06/15,3,0,0,0,0,1,0,0,0,0,0,1,0,3,7,2,2,1,2,0,0,0,0,0
2013/06/16,0,0,1,0,0,1,0,0,3,1,0,0,0,4,1,1,0,5,1,0,2,3,0,0
2013/06/17,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,6,2,0,1,3,1,0
2013/06/18,0,0,0,1,0,1,1,1,0,2,6,0,0,3,1,3,2,4,1,0,0,4,1,0
2013/06/19,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,2,2,0,0,2,1,0
2013/06/20,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,1,4,0,0,0,1,0,0
2013/06/21,0,0,0,0,0,3,0,2,1,2,3,0,0,2,2,3,1,4,1,0,1,4,3,1
2013/06/22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,1,0,0
2013/06/23,0,0,0,0,1,0,1,0,1,3,1,0,0,0,0,0,1,1,1,0,0,2,0,1
2013/06/24,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,5,0,0,1,2,0,0
2013/06/25,0,2,1,0,0,2,1,0,1,2,1,0,0,4,2,0,1,4,2,0,0,0,3,0
2013/06/26,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,4,0,0,1,3,0,0
2013/06/27,1,0,0,0,0,0,1,0,2,1,5,0,0,0,5,0,2,2,3,0,1,1,2,1
2013/06/28,1,0,0,0,0,1,0,1,2,1,1,0,0,2,3,1,1,1,0,0,0,0,1,0
